01,22,Bello Gallico et Civili,399,Julius Caesar,Historia,Inbunden,Latin,,,B
02,19,How to Read a Book,39,Mortimer J. Adler,Kurslitteratur,Pocket,,,,B
03,12,Moby Dick,29,Herman Melville,Äventyr,Pocket,,,,B
04,34,Great Gatsby,39,F. Scott Fitzgerald,Noir,E_Bok,,,,B
05,31,House of Leaves,79,Mark Z. Danielewski,Skräck,Pocket,,,,B
06,6,Elden Ring,459,,,,,Playstation_5,,D
07,45,Demon's Souls,499,,,,,Playstation_5,,D
08,20,Mircrosoft Flight Simulator,459,,,,,PC,,D
09,29,Planescape Torment,259,,,,,PC,,D
010,16,Disco Elysium,399,,,,,PC,,D
011,24,Nyckeln till frihet,149,,,DVD,,,142,F
012,24,Gudfadern,149,,,DVD,,,152,F
013,8,Konungens återkomst,299,,,Blu_Ray,,,154,F
014,21,Pulp Fiction,259,,,Blu_Ray,,,,F
015,6,Schindlers list,149,,,DVD,,,,F
